X (RT/min),Y (Intensity)
14.21,12241.775057383109
14.22,24483.550114766218
14.23,24483.550114766218
14.24,61208.87528691732
14.25,110175.97551644975
14.26,379495.0267788835
14.28,820198.9288446825
14.29,856924.2540168319
14.3,869166.0290742149
14.31,869166.0290742149
14.32,869166.0290742149
14.33,869166.0290742149
14.34,869166.0290742149
14.35,869166.0290742149
14.37,856924.2540168319
14.38,710022.9533282327
14.39,257077.2762050506
14.4,122417.75057383286
14.41,73450.65034430043
14.42,61208.87528691732
14.43,48967.100229532436
14.44,48967.100229532436
14.46,48967.100229532436
14.47,61208.87528691732
14.48,97934.20045906665
14.49,1334353.4812547818
14.5,3109410.8645753628
14.51,4541698.546289211
14.52,5447589.900535578
14.53,5447589.900535578
14.55,5459831.675592961
14.56,5459831.675592961
14.57,5459831.675592961
14.58,5459831.675592961
14.59,5447589.900535578
14.6,5263963.274674827
14.61,3954093.3435348133
14.62,2399387.91124713
14.64,710022.9533282327
14.65,146901.3006885991
14.66,73450.65034430043
14.67,61208.87528691732
14.68,61208.87528691732
14.69,61208.87528691732
14.7,48967.100229532436
14.71,48967.100229532436
14.73,48967.100229532436
14.74,61208.87528691732
14.75,61208.87528691732
14.76,73450.65034430043
14.77,36725.32517214933
14.78,36725.32517214933
14.79,36725.32517214933
14.8,36725.32517214933
14.81,36725.32517214933
14.83,24483.550114766218
14.84,24483.550114766218
14.85,24483.550114766218
14.86,24483.550114766218
14.87,36725.32517214933
14.88,48967.100229532436
14.89,73450.65034430043
14.9,159143.07574598395
14.92,869166.0290742149
14.93,893649.579188983
14.94,905891.3542463661
14.95,905891.3542463661
14.96,905891.3542463661
14.97,905891.3542463661
14.98,905891.3542463661
14.99,893649.579188983
15.01,856924.2540168319
15.02,73450.65034430043
15.1,1334353.4812547818
15.11,1591430.7574598326
15.12,1603672.5325172157
15.13,1615914.3075745988
15.14,1615914.3075745988
15.15,1615914.3075745988
15.16,1615914.3075745988
15.17,1591430.7574598326
15.19,1554705.4322876814
15.2,710022.9533282327
15.21,110175.97551644975
15.22,146901.3006885991
15.23,171384.85080336707
15.24,403978.5768936497
15.25,452945.6771231821
15.26,477429.22723795014
15.27,477429.22723795014
15.29,489671.00229533325
15.3,489671.00229533325
15.31,489671.00229533325
15.32,489671.00229533325
15.33,465187.452180567
15.34,391736.8018362666
15.35,159143.07574598395
15.36,61208.87528691732
15.38,36725.32517214933
15.39,24483.550114766218
15.4,24483.550114766218
15.41,36725.32517214933
15.42,48967.100229532436
15.43,110175.97551644975
15.44,183626.62586075018
15.45,403978.5768936497
15.47,1101759.7551644994
15.48,3158377.964804897
15.49,5263963.274674827
15.5,6879877.582249426
15.51,9071155.31752104
15.52,9120122.417750575
15.53,9120122.417750575
15.54,9132364.192807958
15.56,9132364.192807958
15.57,9120122.417750575
15.58,9120122.417750575
15.59,9046671.767406274
15.6,7859219.586840092
15.61,5386381.025248662
15.62,3366488.1407804135
15.63,1309869.9311400156
15.65,526396.3274674825
15.66,183626.62586075018
15.67,85692.42540168353
15.68,73450.65034430043
15.69,61208.87528691732
15.7,61208.87528691732
15.71,73450.65034430043
15.72,85692.42540168353
15.74,97934.20045906665
15.75,171384.85080336707
15.76,465187.452180567
15.77,489671.00229533325
